Year,Water_level
Jan-80,6.873
Feb-80,7.663
Mar-80,7.260
Apr-80,7.025
May-80,3.355
Jun-80,2.738
Jul-80,2.725
Aug-80,2.780
Sep-80,3.413
Oct-80,4.023
Nov-80,4.015
Dec-80,5.396
Jan-81,5.510
Feb-81,5.440
Mar-81,4.748
Apr-81,4.805
May-81,5.377
Jun-81,4.520
Jul-81,3.025
Aug-81,2.710
Sep-81,2.885
Oct-81,7.265
Nov-81,6.940
Dec-81,7.383
Jan-82,7.640
Feb-82,7.820
Mar-82,7.260
Apr-82,9.365
May-82,6.928
Jun-82,4.473
Jul-82,2.490
Aug-82,2.780
Sep-82,3.413
Oct-82,4.335
Nov-82,5.126
Dec-82,5.803
Jan-83,6.382
Feb-83,6.720
Mar-83,6.745
Apr-83,4.868
May-83,3.348
Jun-83,2.797
Jul-83,2.910
Aug-83,2.895
Sep-83,2.725
Oct-83,3.327
Nov-83,4.947
Dec-83,5.790
Jan-84,6.032
Feb-84,6.538
Mar-84,7.015
Apr-84,7.468
May-84,8.370
Jun-84,8.008
Jul-84,7.454
Aug-84,3.918
Sep-84,2.960
Oct-84,7.265
Nov-84,6.940
Dec-84,7.383
Jan-85,6.873
Feb-85,7.663
Mar-85,7.260
Apr-85,7.025
May-85,3.355
Jun-85,2.738
Jul-85,3.012
Aug-85,2.833
Sep-85,2.985
Oct-85,3.553
Nov-85,0.590
Dec-85,1.134
Jan-86,1.695
Feb-86,2.138
Mar-86,2.530
Apr-86,2.470
May-86,1.718
Jun-86,1.140
Jul-86,0.308
Aug-86,1.633
Sep-86,0.050
Oct-86,0.270
Nov-86,0.310
Dec-86,0.782
Jan-87,1.565
Feb-87,1.890
Mar-87,2.230
Apr-87,1.860
May-87,1.085
Jun-87,0.705
Jul-87,1.227
Aug-87,0.000
Sep-87,1.660
Oct-87,0.040
Nov-87,0.323
Dec-87,1.000
Jan-88,1.380
Feb-88,1.918
Mar-88,2.365
Apr-88,2.290
May-88,2.030
Jun-88,0.570
Jul-88,1.260
Aug-88,1.633
Sep-88,1.507
Oct-88,0.060
Nov-88,0.377
Dec-88,1.033
Jan-89,1.644
Feb-89,2.428
Mar-89,3.070
Apr-89,3.323
May-89,3.652
Jun-89,3.093
Jul-89,1.020
Aug-89,1.633
Sep-89,1.507
Oct-89,1.963
Nov-89,0.187
Dec-89,0.630
Jan-90,1.496
Feb-90,2.328
Mar-90,2.580
Apr-90,2.090
May-90,0.413
Jun-90,0.000
Jul-90,1.260
Aug-90,1.633
Sep-90,0.220
Oct-90,0.584
Nov-90,0.150
Dec-90,0.353
Jan-91,0.758
Feb-91,1.003
Mar-91,1.300
Apr-91,1.568
May-91,1.685
Jun-91,0.473
Jul-91,1.227
Aug-91,1.297
Sep-91,1.660
